Tag,Date,Time,Lat,Long,DataSource,Vessel,Category,Error_in_m,SightingNo,Comments
GmTag223,5/8/19,18:29:07,35.69226,-74.77752,Sightings,Barber,Fluke,50,6,
GmTag223,5/8/19,18:39:35,35.68755,-74.77493,Tagging,Barber,Fluke,50,6,
GmTag223,5/11/19,12:50:35,35.76335,-74.82296,Sightings,Barber,Fluke,50,4,Visual resighting only - animal without tag hardware
GmTag224,7/28/19,15:19:22,35.82476,-74.83292,Sightings,Barber,Fluke,50,3,
GmTag224,7/28/19,15:41:00,35.8364,-74.83162,Tagging,Barber,Fluke,50,3,
GmTag224,8/19/19,21:44:04,35.89724,-74.73904,Sightings,Kahuna,Distant,1000,5,No visual of tag hardware; gonio tracked to sighting
GmTag225,7/28/19,17:10:43,35.85256,-74.81802,Sightings,Barber,Fluke,50,5,
GmTag225,7/28/19,17:13:47,35.85322,-74.81622,Tagging,Barber,Fluke,50,5,
GmTag226,7/28/19,17:43:43,35.84741,-74.81012,Sightings,Barber,Fluke,50,6,
GmTag226,7/28/19,17:50:44,35.84785,-74.81029,Tagging,Barber,Fluke,50,6,
GmTag226,8/4/19,16:16:04,35.63426,-74.7548,Sightings,Kahuna,Approach,200,7,
GmTag227,7/28/19,17:43:43,35.84741,-74.81012,Sightings,Barber,Fluke,50,6,
GmTag227,7/28/19,18:15:42,35.85607,-74.81084,Tagging,Barber,Fluke,50,6,
GmTag227,8/4/19,16:25:32,35.65112,-74.74398,Sightings,Kahuna,Approach,200,8,
ZcTag082,5/11/19,14:14:57,35.52015,-74.76103,Sightings,Barber,Approach,200,7,First visual
ZcTag082,5/11/19,16:59:03,35.52161,-74.7619,Tagging,Barber,Approach,200,7,Tagged on 1st resight after dive
ZcTag082,5/11/19,18:05:48,35.52084,-74.74858,Tracking,Barber,Gonio,2500,7,no visual  
ZcTag082,5/11/19,18:52:17,35.5191,-74.75441,Tracking,Barber,Gonio,2500,7,no visual
ZcTag082,5/21/19,14:14:57,35.39116,-74.80264,Sightings,Hog Wild,Distant,1000,5,CEE day
ZcTag082,5/27/19,14:40:12,35.52876,-74.74208,Sightings,SP,Distant,1000,3,
ZcTag082,6/2/19,13:47:54,35.60845,-74.71344,Sightings,Hog Wild,Distant,1000,6,
ZcTag082,6/2/19,14:06:42,35.609138,-74.714872,Tracking,Hog Wild,Fluke,50,6,down time of dive
ZcTag082,6/2/19,14:30:09,35.61077,-74.72195,Sightings,Barber,Approach,200,3,
ZcTag082,6/2/19,14:55:37,35.6074,-74.72586,Tracking,Barber,Approach,200,3a,down time of dive
ZcTag083,5/11/19,20:23:25,35.57344,-74.74864,Tagging,Barber,Approach,200,11a,didn't enter sighting lat long as on same approach
ZcTag083,5/23/19,14:34:43,35.36989,-74.87315,Sightings,Fin Galley,Approach,200,4,
ZcTag084,5/23/19,12:47:28,35.53185,-74.7276,Tagging,Barber,Approach,200,1,didn't enter sighting time and lat long as entered after tagging
