"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","dive_labels"
"1","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",12:50:00,NA,NA,NA,267,27.5,NA,NA,NA,NA,1
"2","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",12:55:00,NA,NA,NA,267,27.5,NA,NA,NA,NA,1
"3","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:00:00,NA,NA,NA,170,26.5,NA,NA,NA,NA,1
"4","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:05:00,NA,NA,NA,12,12.5,NA,NA,NA,NA,0
"5","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:10:00,NA,NA,NA,534,54.5,NA,NA,NA,NA,2
"6","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:15:00,NA,NA,NA,1165,109.5,NA,NA,NA,NA,2
"7","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:20:00,NA,NA,NA,1360,112.5,NA,NA,NA,NA,2
"8","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:25:00,NA,NA,NA,1360,112.5,NA,NA,NA,NA,2
"9","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:30:00,NA,NA,NA,1360,112.5,NA,NA,NA,NA,2
"10","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:35:00,NA,NA,NA,1360,112.5,NA,NA,NA,NA,2
"11","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:40:00,NA,NA,NA,1360,112.5,NA,NA,NA,NA,2
"12","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:45:00,NA,NA,NA,1360,112.5,NA,NA,NA,NA,2
"13","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:50:00,NA,NA,NA,1360,112.5,NA,NA,NA,NA,2
"14","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",13:55:00,NA,NA,NA,971,107.5,NA,NA,NA,NA,2
"15","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",14:00:00,NA,NA,NA,534,54.5,NA,NA,NA,NA,2
"16","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",14:05:00,NA,NA,NA,219,27,NA,NA,NA,NA,2
"17","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",14:10:00,NA,NA,NA,12,12.5,NA,NA,NA,NA,0
"18","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",14:15:00,NA,NA,NA,170,26.5,NA,NA,NA,NA,3
"19","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",14:20:00,NA,NA,NA,122,26,NA,NA,NA,NA,3
"20","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",14:25:00,NA,NA,NA,12,12.5,NA,NA,NA,NA,0
"21","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",14:30:00,NA,NA,NA,267,27.5,NA,NA,NA,NA,4
"22","ZcTag084",180753,1,"Transmission","Mk10","23-May-2019",14:35:00,NA,NA,NA,340,52.5,NA,NA,NA,NA,4
