"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","LocationQuality","Latitude","Longitude","MinDepth","MinDepthAccuracy","MaxDepth","MaxDepthAccuracy","MinTemp","MinTempAccuracy","MaxTemp","MaxTempAccuracy","MobMean","MobSD","ActivitySum"
"1","ZcTag084",180753,1,"Transmission","Mk10",52,"12:00:00 23-May-2019","16:00:00 23-May-2019",NA,NA,NA,0,0,1456,15.5,NA,NA,NA,NA,NA,NA,NA
"2","ZcTag084",180753,1,"Transmission","Mk10",62,"16:00:00 23-May-2019","20:00:00 23-May-2019",NA,NA,NA,0,0,1584,15.5,NA,NA,NA,NA,NA,NA,NA
"3","ZcTag084",180753,1,"Transmission","Mk10",50,"20:00:00 23-May-2019","00:00:00 24-May-2019",NA,NA,NA,0,0,1712,15.5,NA,NA,NA,NA,NA,NA,NA
"4","ZcTag084",180753,1,"Transmission","Mk10",58,"00:00:00 24-May-2019","04:00:00 24-May-2019",NA,NA,NA,0,0,1744,15.5,NA,NA,NA,NA,NA,NA,NA
"5","ZcTag084",180753,1,"Transmission","Mk10",50,"04:00:00 24-May-2019","08:00:00 24-May-2019",NA,NA,NA,0,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA
"6","ZcTag084",180753,1,"Transmission","Mk10",42,"08:00:00 24-May-2019","12:00:00 24-May-2019",NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA
"7","ZcTag084",180753,1,"Transmission","Mk10",30,"12:00:00 24-May-2019","16:00:00 24-May-2019",NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA
"8","ZcTag084",180753,1,"Transmission","Mk10",41,"16:00:00 24-May-2019","20:00:00 24-May-2019",NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"9","ZcTag084",180753,1,"Transmission","Mk10",34,"20:00:00 24-May-2019","00:00:00 25-May-2019",NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA
"10","ZcTag084",180753,1,"Transmission","Mk10",31,"00:00:00 25-May-2019","04:00:00 25-May-2019",NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"11","ZcTag084",180753,1,"Transmission","Mk10",36,"04:00:00 25-May-2019","08:00:00 25-May-2019",NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"12","ZcTag084",180753,1,"Transmission","Mk10",34,"08:00:00 25-May-2019","12:00:00 25-May-2019",NA,NA,NA,0,0,1584,15.5,NA,NA,NA,NA,NA,NA,NA
"13","ZcTag084",180753,1,"Transmission","Mk10",37,"12:00:00 25-May-2019","16:00:00 25-May-2019",NA,NA,NA,0,0,1584,15.5,NA,NA,NA,NA,NA,NA,NA
"14","ZcTag084",180753,1,"Transmission","Mk10",33,"16:00:00 25-May-2019","20:00:00 25-May-2019",NA,NA,NA,0,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA
"15","ZcTag084",180753,1,"Transmission","Mk10",32,"20:00:00 25-May-2019","00:00:00 26-May-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"16","ZcTag084",180753,1,"Transmission","Mk10",30,"00:00:00 26-May-2019","04:00:00 26-May-2019",NA,NA,NA,0,0,1392,15.5,NA,NA,NA,NA,NA,NA,NA
"17","ZcTag084",180753,1,"Transmission","Mk10",35,"04:00:00 26-May-2019","08:00:00 26-May-2019",NA,NA,NA,0,0,1456,15.5,NA,NA,NA,NA,NA,NA,NA
"18","ZcTag084",180753,1,"Transmission","Mk10",36,"08:00:00 26-May-2019","12:00:00 26-May-2019",NA,NA,NA,0,0,1584,15.5,NA,NA,NA,NA,NA,NA,NA
"19","ZcTag084",180753,1,"Transmission","Mk10",35,"12:00:00 26-May-2019","16:00:00 26-May-2019",NA,NA,NA,0,0,1680,15.5,NA,NA,NA,NA,NA,NA,NA
"20","ZcTag084",180753,1,"Transmission","Mk10",33,"16:00:00 26-May-2019","20:00:00 26-May-2019",NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"21","ZcTag084",180753,1,"Transmission","Mk10",37,"20:00:00 26-May-2019","00:00:00 27-May-2019",NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"22","ZcTag084",180753,1,"Transmission","Mk10",34,"00:00:00 27-May-2019","04:00:00 27-May-2019",NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA
"23","ZcTag084",180753,1,"Transmission","Mk10",30,"04:00:00 27-May-2019","08:00:00 27-May-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"24","ZcTag084",180753,1,"Transmission","Mk10",40,"08:00:00 27-May-2019","12:00:00 27-May-2019",NA,NA,NA,0,0,1392,15.5,NA,NA,NA,NA,NA,NA,NA
"25","ZcTag084",180753,1,"Transmission","Mk10",32,"12:00:00 27-May-2019","16:00:00 27-May-2019",NA,NA,NA,0,0,1392,15.5,NA,NA,NA,NA,NA,NA,NA
"26","ZcTag084",180753,1,"Transmission","Mk10",34,"16:00:00 27-May-2019","20:00:00 27-May-2019",NA,NA,NA,0,0,1392,15.5,NA,NA,NA,NA,NA,NA,NA
"27","ZcTag084",180753,1,"Transmission","Mk10",37,"20:00:00 27-May-2019","00:00:00 28-May-2019",NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA
"28","ZcTag084",180753,1,"Transmission","Mk10",38,"00:00:00 28-May-2019","04:00:00 28-May-2019",NA,NA,NA,0,0,1584,15.5,NA,NA,NA,NA,NA,NA,NA
"29","ZcTag084",180753,1,"Transmission","Mk10",29,"04:00:00 28-May-2019","08:00:00 28-May-2019",NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"30","ZcTag084",180753,1,"Transmission","Mk10",32,"08:00:00 28-May-2019","12:00:00 28-May-2019",NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA
"31","ZcTag084",180753,1,"Transmission","Mk10",31,"12:00:00 28-May-2019","16:00:00 28-May-2019",NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA
"32","ZcTag084",180753,1,"Transmission","Mk10",30,"16:00:00 28-May-2019","20:00:00 28-May-2019",NA,NA,NA,0,0,1552,15.5,NA,NA,NA,NA,NA,NA,NA
"33","ZcTag084",180753,1,"Transmission","Mk10",24,"20:00:00 28-May-2019","00:00:00 29-May-2019",NA,NA,NA,0,0,1456,15.5,NA,NA,NA,NA,NA,NA,NA
"34","ZcTag084",180753,1,"Transmission","Mk10",26,"00:00:00 29-May-2019","04:00:00 29-May-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"35","ZcTag084",180753,1,"Transmission","Mk10",24,"04:00:00 29-May-2019","08:00:00 29-May-2019",NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA
"36","ZcTag084",180753,1,"Transmission","Mk10",22,"08:00:00 29-May-2019","12:00:00 29-May-2019",NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA
"37","ZcTag084",180753,1,"Transmission","Mk10",11,"12:00:00 29-May-2019","16:00:00 29-May-2019",NA,NA,NA,0,0,1456,15.5,NA,NA,NA,NA,NA,NA,NA
"38","ZcTag084",180753,1,"Transmission","Mk10",26,"16:00:00 29-May-2019","20:00:00 29-May-2019",NA,NA,NA,0,0,1232,15.5,NA,NA,NA,NA,NA,NA,NA
