DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ZcTag084,180753,Mk10,13:03:36 23-May-2019,Argos,0,24.5756,-22.1670,6081,25354,1458,28,,,,,,Speed to avg loc 210 x median
ZcTag084,180753,Mk10,14:09:24 23-May-2019,Argos,B,32.8820,-59.0912,27486,503952,1499,47,,,,,,Speed to avg loc 60 x median
ZcTag084,180753,Mk10,14:10:42 23-May-2019,Argos,0,33.2654,-76.5495,57676,101365,32817,9,,,,,,
ZcTag084,180753,Mk10,14:48:53 23-May-2019,Argos,A,34.5904,-66.6957,5137,179600,146,60,,,,,,Speed to avg loc 30 x median
ZcTag084,180753,Mk10,15:12:43 23-May-2019,Argos,B,33.2672,-76.5381,78530,82005,75201,53,,,,,,Lat > 4 deviations from mean
ZcTag084,180753,Mk10,00:00:19 24-May-2019,Argos,0,35.6814,-74.6675,2340,13736,398,118,,,,,,
ZcTag084,180753,Mk10,01:24:40 24-May-2019,Argos,0,35.6508,-74.6619,6424,57773,714,67,,,,,,
ZcTag084,180753,Mk10,01:39:37 24-May-2019,Argos,0,35.5741,-74.7609,3871,24381,614,99,,,,,,
ZcTag084,180753,Mk10,02:04:16 24-May-2019,Argos,0,35.5918,-74.7827,3330,84577,131,77,,,,,,
ZcTag084,180753,Mk10,03:06:55 24-May-2019,Argos,A,35.6315,-74.7584,5656,10874,2941,89,,,,,,
ZcTag084,180753,Mk10,03:48:21 24-May-2019,Argos,B,35.6338,-74.7575,9975,15619,6370,90,,,,,,
ZcTag084,180753,Mk10,08:29:24 24-May-2019,Argos,B,35.6256,-74.7177,12446,19055,8129,82,,,,,,
ZcTag084,180753,Mk10,08:58:21 24-May-2019,Argos,0,35.6750,-74.5917,5103,44827,581,80,,,,,,
ZcTag084,180753,Mk10,10:31:50 24-May-2019,Argos,0,35.6018,-74.4269,6644,260737,169,77,,,,,,
ZcTag084,180753,Mk10,11:11:15 24-May-2019,Argos,A,35.4853,-74.4608,6753,42106,1083,82,,,,,,
ZcTag084,180753,Mk10,12:54:54 24-May-2019,Argos,B,35.3771,-74.4775,16384,29933,8967,83,,,,,,
ZcTag084,180753,Mk10,13:41:23 24-May-2019,Argos,0,35.5466,-74.6839,2890,13452,620,132,,,,,,
ZcTag084,180753,Mk10,13:59:14 24-May-2019,Argos,A,35.5547,-74.6795,7051,9700,5125,118,,,,,,
ZcTag084,180753,Mk10,15:26:21 24-May-2019,Argos,0,35.3631,-74.6749,7295,66129,804,91,,,,,,
ZcTag084,180753,Mk10,15:46:55 24-May-2019,Argos,0,35.3624,-74.9786,3819,4733,3081,140,,,,,,
ZcTag084,180753,Mk10,19:55:30 24-May-2019,Argos,0,35.2069,-74.6804,3263,16774,634,40,,,,,,
ZcTag084,180753,Mk10,22:20:15 24-May-2019,Argos,0,35.2377,-74.7004,8601,36584,2022,89,,,,,,
