DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
ZcTag093,180763,1.000000,Transmission,Mk10,11,12:00:00 30-Jul-2019,16:00:00 30-Jul-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,16:00:00 30-Jul-2019,20:00:00 30-Jul-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,9,20:00:00 30-Jul-2019,00:00:00 31-Jul-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,12,00:00:00 31-Jul-2019,04:00:00 31-Jul-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,5,04:00:00 31-Jul-2019,08:00:00 31-Jul-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,6,08:00:00 31-Jul-2019,12:00:00 31-Jul-2019,,,,0.0,0.00,1072.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,9,12:00:00 31-Jul-2019,16:00:00 31-Jul-2019,,,,0.0,0.00,1136.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,5,16:00:00 31-Jul-2019,20:00:00 31-Jul-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,20:00:00 31-Jul-2019,00:00:00 01-Aug-2019,,,,0.0,0.00,1232.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,4,00:00:00 01-Aug-2019,04:00:00 01-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,4,04:00:00 01-Aug-2019,08:00:00 01-Aug-2019,,,,0.0,0.00,1200.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,08:00:00 01-Aug-2019,12:00:00 01-Aug-2019,,,,0.0,0.00,1456.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,5,12:00:00 01-Aug-2019,16:00:00 01-Aug-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,16:00:00 01-Aug-2019,20:00:00 01-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,20:00:00 01-Aug-2019,00:00:00 02-Aug-2019,,,,0.0,0.00,1936.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,00:00:00 02-Aug-2019,04:00:00 02-Aug-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,04:00:00 02-Aug-2019,08:00:00 02-Aug-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,08:00:00 02-Aug-2019,12:00:00 02-Aug-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,6,12:00:00 02-Aug-2019,16:00:00 02-Aug-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,5,16:00:00 02-Aug-2019,20:00:00 02-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,4,20:00:00 02-Aug-2019,00:00:00 03-Aug-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,4,00:00:00 03-Aug-2019,04:00:00 03-Aug-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,04:00:00 03-Aug-2019,08:00:00 03-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,4,08:00:00 03-Aug-2019,12:00:00 03-Aug-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,6,12:00:00 03-Aug-2019,16:00:00 03-Aug-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,16:00:00 03-Aug-2019,20:00:00 03-Aug-2019,,,,0.0,0.00,1360.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,4,20:00:00 03-Aug-2019,00:00:00 04-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,1,00:00:00 04-Aug-2019,04:00:00 04-Aug-2019,,,,0.0,0.00,1232.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,04:00:00 04-Aug-2019,08:00:00 04-Aug-2019,,,,0.0,0.00,1328.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,08:00:00 04-Aug-2019,12:00:00 04-Aug-2019,,,,0.0,0.00,1168.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,4,12:00:00 04-Aug-2019,16:00:00 04-Aug-2019,,,,0.0,0.00,1296.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,4,16:00:00 04-Aug-2019,20:00:00 04-Aug-2019,,,,0.0,0.00,1264.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,3,20:00:00 04-Aug-2019,00:00:00 05-Aug-2019,,,,0.0,0.00,1232.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,2,00:00:00 05-Aug-2019,04:00:00 05-Aug-2019,,,,0.0,0.00,1456.0,15.50,,,,,,,
ZcTag093,180763,1.000000,Transmission,Mk10,6,04:00:00 05-Aug-2019,08:00:00 05-Aug-2019,,,,0.0,0.00,1232.0,15.50,,,,,,,
