DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
GmTag223,180764,1.000000,Transmission,Mk10,42,18:40:00 08-May-2019,20:21:24 08-May-2019,Message,10,,,,6074.000000,6094.000000,,
GmTag223,180764,1.000000,Transmission,Mk10,42,18:40:00 08-May-2019,18:44:40 08-May-2019,Surface,,,,,279,281,18,262
GmTag223,180764,1.000000,Transmission,Mk10,42,18:44:40 08-May-2019,18:59:14 08-May-2019,Dive,1,U,504.0,519.0,873,875,,
GmTag223,180764,1.000000,Transmission,Mk10,42,18:59:14 08-May-2019,19:09:56 08-May-2019,Surface,,,,,641,643,166,476
GmTag223,180764,1.000000,Transmission,Mk10,42,19:09:56 08-May-2019,19:24:22 08-May-2019,Dive,1,U,536.0,551.0,865,867,,
GmTag223,180764,1.000000,Transmission,Mk10,42,19:24:22 08-May-2019,19:31:36 08-May-2019,Surface,,,,,433,435,112,322
GmTag223,180764,1.000000,Transmission,Mk10,42,19:31:36 08-May-2019,19:43:40 08-May-2019,Dive,1,U,476.0,483.0,723,725,,
GmTag223,180764,1.000000,Transmission,Mk10,42,19:43:40 08-May-2019,19:47:46 08-May-2019,Surface,,,,,245,247,95,151
GmTag223,180764,1.000000,Transmission,Mk10,42,19:47:46 08-May-2019,20:03:52 08-May-2019,Dive,1,U,468.0,475.0,965,967,,
GmTag223,180764,1.000000,Transmission,Mk10,42,20:03:52 08-May-2019,20:08:50 08-May-2019,Surface,,,,,297,299,67,231
GmTag223,180764,1.000000,Transmission,Mk10,42,20:08:50 08-May-2019,20:21:24 08-May-2019,Dive,1,U,226.0,229.0,753,755,,
GmTag223,180764,1.000000,Transmission,Mk10,10,20:21:00 08-May-2019,00:08:48 09-May-2019,Message,10,,,,13658.000000,13678.000000,,
GmTag223,180764,1.000000,Transmission,Mk10,10,20:21:00 08-May-2019,20:29:42 08-May-2019,Surface,,,,,521,523,51,471
GmTag223,180764,1.000000,Transmission,Mk10,10,20:29:42 08-May-2019,20:36:14 08-May-2019,Dive,1,V,190.0,193.0,391,393,,
GmTag223,180764,1.000000,Transmission,Mk10,10,20:36:14 08-May-2019,22:31:08 08-May-2019,Surface,,,,,6893,6895,1112,5782
GmTag223,180764,1.000000,Transmission,Mk10,10,22:31:08 08-May-2019,22:38:22 08-May-2019,Dive,1,V,142.0,145.0,433,435,,
GmTag223,180764,1.000000,Transmission,Mk10,10,22:38:22 08-May-2019,22:42:04 08-May-2019,Surface,,,,,221,223,29,193
GmTag223,180764,1.000000,Transmission,Mk10,10,22:42:04 08-May-2019,22:52:18 08-May-2019,Dive,1,V,150.0,153.0,613,615,,
GmTag223,180764,1.000000,Transmission,Mk10,10,22:52:18 08-May-2019,23:32:00 08-May-2019,Surface,,,,,2381,2383,231,2151
GmTag223,180764,1.000000,Transmission,Mk10,10,23:32:00 08-May-2019,23:40:22 08-May-2019,Dive,1,U,77.0,78.0,501,503,,
GmTag223,180764,1.000000,Transmission,Mk10,10,23:40:22 08-May-2019,23:53:52 08-May-2019,Surface,,,,,809,811,78,732
GmTag223,180764,1.000000,Transmission,Mk10,10,23:53:52 08-May-2019,00:08:48 09-May-2019,Dive,1,U,520.0,535.0,895,897,,
