DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag089,180768,Mk10,DS,3,0,2,41,15,23:44:38 02-Jun-2019,NN,A,44.1414,-33.5153,,,58,,401650000,-133
ZcTag089,180768,Mk10,DS,8,3,2,,,23:44:56 02-Jun-2019,NK,Z,35.8162,-142.4740,35.8162,-142.4740,31,,401665879,-129
ZcTag089,180768,Mk10,DS,5,1,2,,,00:48:48 03-Jun-2019,SR,0,43.2546,-115.9695,43.2546,-115.9695,50,,401677474,-131
ZcTag089,180768,Mk10,DS,1,0,0,,,02:27:12 03-Jun-2019,MB,B,43.2155,-116.0356,43.2155,-116.0356,8,,401677372,-127
ZcTag089,180768,Mk10,DS,10,5,1,,,09:59:13 03-Jun-2019,NP,Z,50.2433,-62.5971,50.2433,-62.5971,31,,401679722,-120
ZcTag089,180768,Mk10,DS,6,0,5,22,15,11:52:28 03-Jun-2019,NK,Z,38.4281,-130.5029,38.4281,-130.5029,31,,401685045,-128
ZcTag089,180768,Mk10,DS,3,0,3,38,34,13:43:02 03-Jun-2019,NN,A,34.5793,-67.4282,36.6023,-72.9694,50,,401677474,-137
ZcTag089,180768,Mk10,DS,1,0,0,,,14:22:19 03-Jun-2019,MC,Z,34.4665,-67.4038,36.4436,-73.2544,1,,401678111,-135
ZcTag089,180768,Mk10,DS,4,0,1,17,16,15:58:47 03-Jun-2019,MC,0,41.1186,-104.0219,35.5037,-75.2256,50,,401677477,-121
ZcTag089,180768,Mk10,DS,3,0,2,125,50,23:12:20 03-Jun-2019,NK,A,35.4285,-75.3433,35.4285,-75.3433,8,,401677512,-124
ZcTag089,180768,Mk10,DS,4,0,3,68,25,00:48:48 04-Jun-2019,MA,0,35.4611,-75.1392,35.4611,-75.1392,58,,401677495,-122
ZcTag089,180768,Mk10,DS,1,0,1,,,00:51:43 04-Jun-2019,NK,B,35.4286,-75.0065,35.4286,-75.0065,6,,401677425,-131
ZcTag089,180768,Mk10,DS,7,0,2,112,15,01:08:59 04-Jun-2019,NN,0,35.4256,-74.9348,35.4256,-74.9348,56,,401677438,-122
ZcTag089,180768,Mk10,DS,3,0,2,44,35,02:39:12 04-Jun-2019,MA,A,35.6232,-74.7258,35.6232,-74.7258,8,,401677453,-124
ZcTag089,180768,Mk10,DS,2,0,1,280,280,03:11:04 04-Jun-2019,MC,B,35.4147,-74.6246,28.3714,-109.0092,,,401677474,-125
ZcTag089,180768,Mk10,DS,6,0,4,17,16,11:30:21 04-Jun-2019,SR,0,35.2491,-74.9140,35.2491,-74.9140,46,,401677616,-125
ZcTag089,180768,Mk10,DS,6,0,4,17,16,11:29:46 04-Jun-2019,NP,0,35.2063,-74.8470,35.2063,-74.8470,58,,401677440,-131
ZcTag089,180768,Mk10,DS,5,0,3,17,16,11:30:12 04-Jun-2019,NK,0,35.6368,-75.8546,35.6368,-75.8546,46,,401677799,-121
ZcTag089,180768,Mk10,DS,7,0,7,23,15,13:42:17 04-Jun-2019,NN,0,35.0423,-75.1583,35.0423,-75.1583,48,,401677467,-129
ZcTag089,180768,Mk10,DS,1,0,1,,,14:32:40 04-Jun-2019,MB,B,35.0320,-75.1756,35.0320,-75.1756,8,,401677348,-125
ZcTag089,180768,Mk10,DS,3,0,1,33,33,15:31:48 04-Jun-2019,MC,A,35.1172,-73.9897,39.9905,-93.8292,58,,401677616,-129
ZcTag089,180768,Mk10,DS,2,0,0,34,34,21:03:25 04-Jun-2019,NP,B,38.7851,-64.3787,36.1082,-78.5558,8,,401677616,-136
ZcTag089,180768,Mk10,DS,4,0,4,22,15,22:44:28 04-Jun-2019,NK,0,35.7617,-78.2365,35.7617,-78.2365,45,,401677743,-132
ZcTag089,180768,Mk10,DS,6,0,0,20,14,01:01:48 05-Jun-2019,NN,Z,35.1679,-76.2910,35.1679,-76.2910,31,,401677246,-123
ZcTag089,180768,Mk10,DS,1,0,1,,,01:23:07 05-Jun-2019,SR,Z,35.8914,-77.3854,35.8914,-77.3854,1,,401677113,-139
ZcTag089,180768,Mk10,DS,6,0,1,24,15,02:18:46 05-Jun-2019,MA,0,35.6122,-74.5077,32.5222,-90.8419,60,,401677454,-127
ZcTag089,180768,Mk10,DS,1,0,1,,,02:37:40 05-Jun-2019,NN,B,35.6449,-74.5949,35.6449,-74.5949,6,,401677462,-135
ZcTag089,180768,Mk10,DS,7,0,1,17,15,02:57:03 05-Jun-2019,MC,0,35.4944,-74.7303,35.4944,-74.7303,46,,401677415,-119
ZcTag089,180768,Mk10,DS,1,0,1,,,11:04:26 05-Jun-2019,SR,B,35.5310,-74.6805,35.5310,-74.6805,8,,401677496,-138
ZcTag089,180768,Mk10,DS,6,0,3,17,15,11:05:09 05-Jun-2019,NK,0,35.5931,-74.7145,35.5931,-74.7145,56,,401677556,-127
ZcTag089,180768,Mk10,DS,2,0,0,16,16,13:32:23 05-Jun-2019,NN,B,35.7100,-74.7361,35.7100,-74.7361,6,,401677545,-133
ZcTag089,180768,Mk10,DS,5,0,3,31,18,13:32:15 05-Jun-2019,MC,0,35.7262,-74.7577,35.7262,-74.7577,46,,401677650,-123
ZcTag089,180768,Mk10,DS,1,0,1,,,14:27:59 05-Jun-2019,MA,B,35.7294,-74.7439,35.7294,-74.7439,8,,401677490,-133
