DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange,Activity,ARange
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,16:45:00,,,,155.0,24.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,16:50:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,16:55:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:00:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:05:00,,,,11.0,11.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:10:00,,,,200.0,25.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:15:00,,,,11.0,11.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:20:00,,,,399.0,49.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:25:00,,,,887.0,99.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:30:00,,,,1241.0,103.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:35:00,,,,1241.0,103.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:40:00,,,,1241.0,103.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:45:00,,,,1241.0,103.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:50:00,,,,1064.0,101.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,17:55:00,,,,887.0,99.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:00:00,,,,710.0,97.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:05:00,,,,576.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:10:00,,,,399.0,49.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:15:00,,,,155.0,24.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:20:00,,,,77.0,12.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:25:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:30:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:35:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:40:00,,,,111.0,24.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:45:00,,,,200.0,25.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:50:00,,,,399.0,49.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,18:55:00,,,,399.0,49.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:00:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:05:00,,,,11.0,11.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:10:00,,,,200.0,25.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:15:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:20:00,,,,399.0,49.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:25:00,,,,200.0,25.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:30:00,,,,77.0,12.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:35:00,,,,244.0,25.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:40:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:45:00,,,,310.0,48.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:50:00,,,,77.0,12.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,19:55:00,,,,111.0,24.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:00:00,,,,256.0,27.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:05:00,,,,325.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:10:00,,,,256.0,27.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:15:00,,,,12.0,12.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:20:00,,,,163.0,26.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:25:00,,,,209.0,26.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:30:00,,,,256.0,27.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:35:00,,,,12.0,12.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:40:00,,,,163.0,26.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:45:00,,,,744.0,103.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:50:00,,,,1115.0,108.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,20:55:00,,,,1115.0,108.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:00:00,,,,1300.0,110.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:05:00,,,,1300.0,110.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:10:00,,,,1115.0,108.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:15:00,,,,929.0,105.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:20:00,,,,929.0,105.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:25:00,,,,744.0,103.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:30:00,,,,511.0,53.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:35:00,,,,418.0,52.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:40:00,,,,325.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:45:00,,,,116.0,25.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:50:00,,,,163.0,26.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,21:55:00,,,,325.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:00:00,,,,325.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:05:00,,,,209.0,26.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:10:00,,,,12.0,12.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:15:00,,,,209.0,26.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:20:00,,,,325.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:25:00,,,,256.0,27.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:30:00,,,,58.0,13.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:35:00,,,,163.0,26.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:40:00,,,,325.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:45:00,,,,256.0,27.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:50:00,,,,58.0,13.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,22:55:00,,,,209.0,26.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:00:00,,,,325.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:05:00,,,,256.0,27.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:10:00,,,,116.0,25.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:15:00,,,,163.0,26.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:20:00,,,,325.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:25:00,,,,256.0,27.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:30:00,,,,12.0,12.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:35:00,,,,325.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:40:00,,,,929.0,105.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:45:00,,,,1115.0,108.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:50:00,,,,1300.0,110.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,12-Aug-2019,23:55:00,,,,1300.0,110.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:00:00,,,,1211.0,104.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:05:00,,,,1038.0,101.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:10:00,,,,865.0,99.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:15:00,,,,562.0,51.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:20:00,,,,303.0,48.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:25:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:30:00,,,,195.0,25.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:35:00,,,,238.0,25.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:40:00,,,,54.0,12.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:45:00,,,,32.0,11.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:50:00,,,,32.0,11.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,00:55:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:00:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:05:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:10:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:15:00,,,,32.0,11.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:20:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:25:00,,,,108.0,23.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:30:00,,,,389.0,49.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:35:00,,,,303.0,48.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:40:00,,,,75.0,12.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:45:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:50:00,,,,32.0,11.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,01:55:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:00:00,,,,75.0,12.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:05:00,,,,692.0,96.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:10:00,,,,1211.0,104.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:15:00,,,,1038.0,101.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:20:00,,,,1038.0,101.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:25:00,,,,865.0,99.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:30:00,,,,1038.0,101.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:35:00,,,,865.0,99.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:40:00,,,,692.0,96.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:45:00,,,,476.0,50.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:50:00,,,,238.0,25.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,02:55:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,03:00:00,,,,195.0,25.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,03:05:00,,,,303.0,48.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,03:10:00,,,,151.0,24.50,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,03:15:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,03:20:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,03:25:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,03:30:00,,,,11.0,11.00,,,,
ZcTag096,180774,1.000000,Transmission,Mk10,13-Aug-2019,03:35:00,,,,11.0,11.00,,,,
