"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"GmTag226",180775,16605,35.905,-74.80126,2,07/28/2019 20:43:58,Argos,0,477,NP,,401677471.68,07/28/2019 20:42:04,1,8,0,-125,401677471.68,-74.80126,35.905,-74.80126,35.905,50,3,312,451,215,101,197,4,173,37,74,130,2,6,49,248,5,47,245,160,80,164,165,68,0,3,57,88,110,64,,,,,,,,,
"GmTag226",180775,16605,35.905,-74.80126,2,07/28/2019 20:43:58,Argos,0,477,NP,,401677471.68,07/28/2019 20:42:37,1,8,0,-125,401677471.68,-74.80126,35.905,-74.80126,35.905,50,3,312,451,215,101,197,4,5,249,74,163,115,205,50,7,245,31,245,160,80,164,165,68,0,2,90,64,0,0,,,,,,,,,
"GmTag226",180775,16605,35.905,-74.80126,2,07/28/2019 20:43:58,Argos,0,477,NP,,401677471.68,07/28/2019 20:43:17,1,8,0,-125,401677471.68,-74.80126,35.905,-74.80126,35.905,50,3,312,451,215,101,197,4,165,37,74,207,2,8,49,248,5,31,245,160,80,164,165,68,0,3,174,197,116,192,,,,,,,,,
"GmTag226",180775,16605,35.905,-74.80126,2,07/28/2019 20:43:58,Argos,0,477,NP,,401677471.68,07/28/2019 20:45:42,1,8,0,-125,401677471.68,-74.80126,35.905,-74.80126,35.905,50,3,312,451,215,101,197,4,5,249,75,104,90,58,50,39,244,255,245,160,80,164,165,68,0,2,109,64,0,0,,,,,,,,,
"GmTag226",180775,16605,35.905,-74.80126,2,07/28/2019 20:43:58,Argos,0,477,NP,,401677471.68,07/28/2019 20:46:12,1,8,0,-125,401677471.68,-74.80126,35.905,-74.80126,35.905,50,3,312,451,215,101,197,4,173,37,75,138,2,10,50,23,245,31,245,160,80,164,165,68,0,3,199,17,127,192,,,,,,,,,
"GmTag226",180775,16605,35.905,-74.80126,2,07/28/2019 20:43:58,Argos,0,477,NP,,401677471.68,07/28/2019 20:48:11,1,8,0,-125,401677471.68,-74.80126,35.905,-74.80126,35.905,50,3,312,451,215,101,197,4,165,35,76,9,2,12,50,8,5,79,245,160,80,164,165,64,0,3,179,225,104,64,,,,,,,,,
"GmTag226",180775,16605,35.905,-74.80126,2,07/28/2019 20:43:58,Argos,0,477,NP,,401677471.68,07/28/2019 20:49:21,1,8,0,-125,401677471.68,-74.80126,35.905,-74.80126,35.905,50,3,312,451,215,101,197,4,165,37,76,83,2,14,50,7,245,15,245,160,80,164,165,68,0,3,196,127,93,64,,,,,,,,,
"GmTag226",180775,16605,35.905,-74.80126,2,07/28/2019 20:43:58,Argos,0,477,NP,,401677471.68,07/28/2019 20:50:01,1,8,0,-125,401677471.68,-74.80126,35.905,-74.80126,35.905,50,3,312,451,215,101,197,4,5,249,76,123,82,186,50,24,5,29,245,168,80,165,165,64,0,2,110,64,0,39,,,,,,,,,
"GmTag226",180775,16605,35.8997,-74.79907,A,07/28/2019 21:49:47,Argos,0,38,NK,,401677476.66,07/28/2019 21:49:47,1,2,0,-135,401677476.66,-74.79907,35.8997,-74.79907,35.8997,8,3,2449,13751,436,40,2057,4,165,37,92,109,2,72,50,8,5,79,245,160,80,164,165,64,0,3,91,91,111,64,,,,,,,,,
"GmTag226",180775,16605,35.8997,-74.79907,A,07/28/2019 21:49:47,Argos,0,38,NK,,401677476.66,07/28/2019 21:50:25,1,2,0,-135,401677476.66,-74.79907,35.8997,-74.79907,35.8997,8,3,2449,13751,436,40,2057,4,5,249,92,151,186,235,50,40,4,239,245,160,80,164,165,68,0,2,100,128,0,0,,,,,,,,,
